geo_code,geo_name,fy,obligated_amount,population,per_capita
CT,Connecticut,2022,31849559354.64,3605944.0,8832.516354840785
CT,Connecticut,2023,30923302281.21,3605944.0,8575.646843436836
CT,Connecticut,2024,36075933410.08,3605944.0,10004.57395069918
DC,District Of Columbia,2008,8597082481.96,689545.0,12467.761323713461
DC,District Of Columbia,2009,11622899256.32,689545.0,16855.89665115402
DC,District Of Columbia,2010,12137433061.97,689545.0,17602.089873713823
DC,District Of Columbia,2011,12239171594.96,689545.0,17749.634316774103
DC,District Of Columbia,2012,9982432066.83,689545.0,14476.839171961221
DC,District Of Columbia,2013,9723906948.96,689545.0,14101.917857369714
DC,District Of Columbia,2014,10731677244.08,689545.0,15563.418259983033
DC,District Of Columbia,2015,11330671378.67,689545.0,16432.098526811158
DC,District Of Columbia,2016,11737836114.7,689545.0,17022.58172374537
DC,District Of Columbia,2017,13204495719.93,689545.0,19149.577938974253
DC,District Of Columbia,2018,13979832904.61,689545.0,20273.9964826226
DC,District Of Columbia,2019,12856391886.82,689545.0,18644.746734179786
DC,District Of Columbia,2020,13797727118.12,689545.0,20009.900902943245
DC,District Of Columbia,2021,16901778661.4,689545.0,24511.494770319558
DC,District Of Columbia,2022,23674106708.94,689545.0,34332.93941503455
DC,District Of Columbia,2023,17966727782.69,689545.0,26055.91771775591
DC,District Of Columbia,2024,26177722053.23,689545.0,37963.761688113176
DE,Delaware,2008,1212878284.77,989948.0,1225.1939341965438
DE,Delaware,2009,2979531369.58,989948.0,3009.7857357962234
DE,Delaware,2010,1343409272.25,989948.0,1357.050342290706
DE,Delaware,2011,3127316872.4,989948.0,3159.0718627645088
DE,Delaware,2012,3037697953.38,989948.0,3068.5429470840895
DE,Delaware,2013,3224377490.89,989948.0,3257.1180414425808
DE,Delaware,2014,1896304183.34,989948.0,1915.559386290997
DE,Delaware,2015,1842751956.44,989948.0,1861.463386400094
DE,Delaware,2016,1926624222.64,989948.0,1946.1872973529923
DE,Delaware,2017,2081579255.19,989948.0,2102.7157539486925
DE,Delaware,2018,2118695936.58,989948.0,2140.209320671389
DE,Delaware,2019,2272278069.77,989948.0,2295.3509373926713
DE,Delaware,2020,2206485417.7,989948.0,2228.8902222136917
DE,Delaware,2021,3084729413.35,989948.0,3116.051967729618
DE,Delaware,2022,3116973332.02,989948.0,3148.623293364904
DE,Delaware,2023,3392935364.54,989948.0,3427.387463321306
DE,Delaware,2024,3053883083.5,989948.0,3084.8924221272227
FL,Florida,2008,29402187507.14,21538187.0,1365.118963222856
FL,Florida,2009,100928228265.15,21538187.0,4686.013185100027
FL,Florida,2010,28263237560.92,21538187.0,1312.2384702537868
FL,Florida,2011,167870549799.15,21538187.0,7794.089158904136
FL,Florida,2012,174409058485.54,21538187.0,8097.666646015285
FL,Florida,2013,226068588072.2,21538187.0,10496.175377816156
FL,Florida,2014,41140677950.15,21538187.0,1910.1272521289745
FL,Florida,2015,42614162530.39,21538187.0,1978.5399082285803
FL,Florida,2016,47628374747.41,21538187.0,2211.3455857454483
FL,Florida,2017,49073634440.29,21538187.0,2278.447783942539
FL,Florida,2018,51146167975.99,21538187.0,2374.6737817807043
FL,Florida,2019,56590417253.51,21538187.0,2627.4457201764476
FL,Florida,2020,64912167345.71,21538187.0,3013.8176136046177
FL,Florida,2021,64960351189.23,21538187.0,3016.054749140678
FL,Florida,2022,72001951772.67,21538187.0,3342.990372061957
FL,Florida,2023,73698166188.74,21538187.0,3421.744188066526
FL,Florida,2024,82257509533.18,21538187.0,3819.1473373863823
GA,Georgia,2008,12621634877.33,10711908.0,1178.2807392791274
GA,Georgia,2009,21853448698.96,10711908.0,2040.1079526597875
GA,Georgia,2010,15459924311.24,10711908.0,1443.2465543244023
GA,Georgia,2011,19548459026.32,10711908.0,1824.9278304406646
GA,Georgia,2012,19324460955.45,10711908.0,1804.0167032287807
GA,Georgia,2013,20464826871.46,10711908.0,1910.4744804996458
GA,Georgia,2014,16913750485.01,10711908.0,1578.9671163167197
GA,Georgia,2015,16229752716.29,10711908.0,1515.1131540982242
