fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2017,4,150,International Affairs,152,International security assistance,16045505811.87,
2017,4,150,International Affairs,153,Conduct of foreign affairs,27619801235.12,
2017,4,150,International Affairs,154,Foreign information and exchange activities,1688137686.48,
2017,4,150,International Affairs,155,International financial programs,41722700829.39,
2017,4,250,"General Science, Space, and Technology",251,General science and basic research,13826684805.26,
2017,4,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",22016754823.04,
2017,4,270,Energy,271,Energy supply,9502959175.5,
2017,4,270,Energy,272,Energy conservation,2438395974.11,
2017,4,270,Energy,274,Emergency energy preparedness,396184342.85,
2017,4,270,Energy,276,"Energy information, policy, and regulation",1967996457.01,
2017,4,300,Natural Resources and Environment,301,Water resources,20973306310.46,
2017,4,300,Natural Resources and Environment,302,Conservation and land management,17411229656.98,
2017,4,300,Natural Resources and Environment,303,Recreational resources,4996122495.73,
2017,4,300,Natural Resources and Environment,304,Pollution control and abatement,11172024240.12,
2017,4,300,Natural Resources and Environment,306,Other natural resources,11882864303.19,
2017,4,350,Agriculture,351,Farm income stabilization,10412265149.91,
2017,4,350,Agriculture,352,Agricultural research and services,7169036220.06,
2017,4,370,Commerce and Housing Credit,371,Mortgage credit,23269028744.75,
2017,4,370,Commerce and Housing Credit,373,Deposit insurance,-3583524005.59,
2017,4,370,Commerce and Housing Credit,376,Other advancement of commerce,31883845730.54,
2017,4,400,Transportation,401,Ground transportation,62308697082.19,
2017,4,400,Transportation,402,Air transportation,34917602275.62,
2017,4,400,Transportation,403,Water transportation,11705291068.83,
2017,4,400,Transportation,407,Other transportation,1413845589.0,
2017,4,450,Community and Regional Development,451,Community development,11806421744.02,
2017,4,450,Community and Regional Development,452,Area and regional development,5060623924.48,
2017,4,450,Community and Regional Development,453,Disaster relief and insurance,26431387454.85,
2017,4,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",40919241855.11,
2017,4,500,"Education, Training, Employment, and Social Services",502,Higher education,98786057887.64,
2017,4,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2147144587.44,
2017,4,500,"Education, Training, Employment, and Social Services",504,Training and employment,10062335343.46,
2017,4,500,"Education, Training, Employment, and Social Services",505,Other labor services,2513963614.01,
2017,4,500,"Education, Training, Employment, and Social Services",506,Social services,20195101013.16,
2017,4,550,Health,551,Health care services,620006532036.92,
2017,4,550,Health,552,Health research and training,41221979725.76,
2017,4,550,Health,554,Consumer and occupational health and safety,7569802127.64,
2017,4,570,Medicare,571,Medicare,1046629647350.25,
2017,4,600,Income Security,601,General retirement and disability insurance (excluding social se,23764351211.61,
2017,4,600,Income Security,602,Federal employee retirement and disability,148721035068.53,
2017,4,600,Income Security,603,Unemployment compensation,34177522110.58,
2017,4,600,Income Security,604,Housing assistance,43446116517.23,
2017,4,600,Income Security,605,Food and nutrition assistance,101776030592.05,
2017,4,600,Income Security,609,Other income security,183512073194.49,
2017,4,650,Social Security,651,Social security,996372134632.39,
2017,4,700,Veterans Benefits and Services,701,Income security for veterans,87780096885.19,
2017,4,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",14288313820.49,
2017,4,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,76604284749.94,
2017,4,700,Veterans Benefits and Services,704,Veterans housing,1169998057.92,
2017,4,700,Veterans Benefits and Services,705,Other veterans benefits and services,12702053594.71,
2017,4,750,Administration of Justice,751,Federal law enforcement activities,49063343232.11,
2017,4,750,Administration of Justice,752,Federal litigative and judicial activities,9835693656.58,
2017,4,750,Administration of Justice,753,Federal correctional activities,8062059308.44,
2017,4,750,Administration of Justice,754,Criminal justice assistance,6873982304.49,
2017,4,800,General Government,801,Legislative functions,585700582.21,
2017,4,800,General Government,802,Executive direction and management,541914111.81,
2017,4,800,General Government,803,Central fiscal operations,325083075867.13,
2017,4,800,General Government,804,General property and records management,28125131571.71,
2017,4,800,General Government,805,Central personnel management,42735256502.74,
2017,4,800,General Government,806,General purpose fiscal assistance,6903772693.28,
2017,4,800,General Government,808,Other general government,3900270866.03,
2017,4,900,Net Interest,901,Interest on Treasury debt securities (gross),456955259352.71,
2017,4,900,Net Interest,908,Other interest,13723103773.61,
2018,1,000,Governmental Receipts,000,Governmental Receipts,0.0,
2018,1,050,National Defense,051,Department of Defense-Military,202135028185.44,
2018,1,050,National Defense,053,Atomic energy defense activities,5056795582.04,
2018,1,050,National Defense,054,Defense-related activities,91619658371.9,
2018,1,150,International Affairs,151,International development and humanitarian assistance,3151787197.38,
2018,1,150,International Affairs,152,International security assistance,2471925463.36,
2018,1,150,International Affairs,153,Conduct of foreign affairs,3972960160.83,
2018,1,150,International Affairs,154,Foreign information and exchange activities,193638011.05,
2018,1,150,International Affairs,155,International financial programs,10188382352.9,
2018,1,250,"General Science, Space, and Technology",251,General science and basic research,1501964613.54,
2018,1,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",4358179677.59,
2018,1,270,Energy,271,Energy supply,2487736495.73,
2018,1,270,Energy,272,Energy conservation,279051830.49,
2018,1,270,Energy,274,Emergency energy preparedness,43042386.8,
2018,1,270,Energy,276,"Energy information, policy, and regulation",343455536.76,
2018,1,300,Natural Resources and Environment,301,Water resources,8472083082.29,
2018,1,300,Natural Resources and Environment,302,Conservation and land management,3228233200.16,
2018,1,300,Natural Resources and Environment,303,Recreational resources,726405426.84,
2018,1,300,Natural Resources and Environment,304,Pollution control and abatement,1538766772.47,
2018,1,300,Natural Resources and Environment,306,Other natural resources,2370628497.06,
