code,name,amount,population,fy,quarter,geo_layer
CO,Colorado,9638912718.06,5773714.0,2018,1,state
CO,Colorado,10144523419.21,5773714.0,2018,2,state
CO,Colorado,10393529456.02,5773714.0,2018,3,state
CO,Colorado,11833947444.18,5773714.0,2018,4,state
CO,Colorado,11211907661.67,5773714.0,2019,1,state
CO,Colorado,10932189811.73,5773714.0,2019,2,state
CO,Colorado,10406037484.68,5773714.0,2019,3,state
CO,Colorado,12586292217.33,5773714.0,2019,4,state
CO,Colorado,11046758787.5,5773714.0,2020,1,state
CO,Colorado,11008961989.25,5773714.0,2020,2,state
CO,Colorado,27216060655.65,5773714.0,2020,3,state
CO,Colorado,15261884650.17,5773714.0,2020,4,state
CO,Colorado,11983092304.0,5773714.0,2021,1,state
CO,Colorado,19789780117.2,5773714.0,2021,2,state
CO,Colorado,21986789276.64,5773714.0,2021,3,state
CO,Colorado,16435696263.04,5773714.0,2021,4,state
CO,Colorado,13882338223.41,5773714.0,2022,1,state
CO,Colorado,12997138918.89,5773714.0,2022,2,state
CO,Colorado,15010325532.61,5773714.0,2022,3,state
CO,Colorado,17489694864.23,5773714.0,2022,4,state
CO,Colorado,12890687437.43,5773714.0,2023,1,state
CO,Colorado,15652979312.37,5773714.0,2023,2,state
CO,Colorado,15135615776.91,5773714.0,2023,3,state
CO,Colorado,17824896114.84,5773714.0,2023,4,state
CO,Colorado,13487425470.36,5773714.0,2024,1,state
CO,Colorado,13734188655.05,5773714.0,2024,2,state
CO,Colorado,16209008979.24,5773714.0,2024,3,state
CO,Colorado,20070011596.49,5773714.0,2024,4,state
CT,Connecticut,8805790704.05,3605944.0,2008,1,state
CT,Connecticut,7159805039.96,3605944.0,2008,2,state
CT,Connecticut,5488990389.38,3605944.0,2008,3,state
CT,Connecticut,6658290411.52,3605944.0,2008,4,state
CT,Connecticut,13574974203.45,3605944.0,2009,1,state
CT,Connecticut,6719104239.91,3605944.0,2009,2,state
CT,Connecticut,8088436004.25,3605944.0,2009,3,state
CT,Connecticut,10699193710.79,3605944.0,2009,4,state
CT,Connecticut,8741500059.09,3605944.0,2010,1,state
CT,Connecticut,11407805421.08,3605944.0,2010,2,state
CT,Connecticut,6014133889.7,3605944.0,2010,3,state
CT,Connecticut,7147293376.17,3605944.0,2010,4,state
CT,Connecticut,8792065314.44,3605944.0,2011,1,state
CT,Connecticut,11255916756.62,3605944.0,2011,2,state
CT,Connecticut,10318077286.98,3605944.0,2011,3,state
CT,Connecticut,8833679026.37,3605944.0,2011,4,state
CT,Connecticut,12605009575.12,3605944.0,2012,1,state
CT,Connecticut,18543271843.71,3605944.0,2012,2,state
CT,Connecticut,17556815631.77,3605944.0,2012,3,state
CT,Connecticut,14058475792.64,3605944.0,2012,4,state
